"Abschicken","Abschicken"
"Datenschutz","Datenschutz"
"Deine Antworten wurden gespeichert. Vielen Dank!","Deine Antworten wurden gespeichert. Vielen Dank!"
"Hast du dich während der Beratung gut aufgehoben gefühlt?","Hast du dich während der Beratung gut aufgehoben gefühlt?"
"Hat der Kurs, den du besuchst/besucht hast, dir beim Deutschlernen weitergeholfen?","Hat der Kurs, den du besuchst/besucht hast, dir beim Deutschlernen weitergeholfen?"
"Impressum","Impressum"
"Ja","Ja"
"Konntest du alle deine Fragen stellen?","Konntest du alle deine Fragen stellen?"
"KuB Feedback","KuB Feedback"
"Nein","Nein"
"Neutral","Neutral"
"Vielen Dank, dass du uns Feedback gibst! Das Feedback hilft uns dabei, unsere Angebote zu verbessern. Du musst uns nicht sagen, wer du bist.","Vielen Dank, dass du uns Feedback gibst! Das Feedback hilft uns dabei, unsere Angebote zu verbessern. Du musst uns nicht sagen, wer du bist."
"Waren die Informationen, die du in der Sprechstunde/bei der Anmeldung bekommen hast, klar und verständlich?","Waren die Informationen, die du in der Sprechstunde/bei der Anmeldung bekommen hast, klar und verständlich?"
"Wie verständlich war die Beratung?","Wie verständlich war die Beratung?"
"Wurden alle deine Fragen beantwortet?","Wurden alle deine Fragen beantwortet?"
"Wurdest du in dem Gespräch während der Sprechstunde aufgrund deiner Hautfarbe, deiner Religion, deines Geschlechts oder deiner Herkunft diskriminiert?","Wurdest du in dem Gespräch während der Sprechstunde aufgrund deiner Hautfarbe, deiner Religion, deines Geschlechts oder deiner Herkunft diskriminiert?"
"Wurdest du in dem Kurs, den du besuchst/besucht hast, aufgrund deiner Hautfarbe, deiner Religion, deines Geschlechts oder deiner Herkunft diskriminiert?","Wurdest du in dem Kurs, den du besuchst/besucht hast, aufgrund deiner Hautfarbe, deiner Religion, deines Geschlechts oder deiner Herkunft diskriminiert?"
